confidence,end,id,start,text,type
0.75,,phishing,,phishing,Attack
0.75,,phishing,,phishing,Attack
0.75,,phishing,,phishing,Attack
0.75,,phishing,,phishing,Attack
0.75,,Phishing,,Phishing,Attack
0.75,,phishing,,phishing,Attack
0.75,,exploit,,exploit,Attack
0.75,,ransomware,,ransomware,Attack
0.75,,ransomware,,ransomware,Attack
0.75,,policies,,policies,User
0.75,,community,,community,User
0.75,,phishing,,phishing,Attack
0.75,,attack,,attack,Attack
0.75,,phishing,,phishing,Attack
0.75,,intrusion,,intrusion,Attack
0.75,,intrusion,,intrusion,Attack
0.75,,intrusion,,intrusion,Attack
0.75,,malware,,malware,Attack
0.75,,malware,,malware,Attack
0.75,,malware,,malware,Attack
0.75,,malware,,malware,Attack
0.75,,ransomware,,ransomware,Attack
0.75,,malware,,malware,Attack
0.75,,ransomware,,ransomware,Attack
0.75,,malware,,malware,Attack
0.75,,ransomware,,ransomware,Attack
0.75,,Device,,Device,User
0.75,,virus,,virus,Attack
0.75,,Virus,,Virus,Attack
0.75,,Virus,,Virus,Attack
0.75,,phishing,,phishing,Attack
0.75,,phishing,,phishing,Attack
0.75,,phishing,,phishing,Attack
0.75,,phishing,,phishing,Attack
0.75,,phishing,,phishing,Attack
0.75,,Phishing,,Phishing,Attack
0.75,,Phishing,,Phishing,Attack
0.75,,phishing,,phishing,Attack
0.75,,Phishing,,Phishing,Attack
0.75,,Phishing,,Phishing,Attack
0.75,,intrusion,,intrusion,Attack
0.75,,ransomware,,ransomware,Attack
0.75,,malware,,malware,Attack
0.75,,Ransomware,,Ransomware,Attack
0.75,,malware,,malware,Attack
0.75,,ransomware,,ransomware,Attack
0.75,,malware,,malware,Attack
0.75,,ransomware,,ransomware,Attack
0.75,,malware,,malware,Attack
0.75,,ransomware,,ransomware,Attack
0.75,,malware,,malware,Attack
0.75,,malware,,malware,Attack
0.75,,ransomware,,ransomware,Attack
0.75,,malware,,malware,Attack
0.75,,ransomware,,ransomware,Attack
0.75,,malware,,malware,Attack
0.75,,ransomware,,ransomware,Attack
0.75,,suspicious activity,,suspicious activity,Event
0.75,,phishing,,phishing,Attack
0.75,,ransomware,,ransomware,Attack
0.75,,ransomware,,ransomware,Attack
0.75,,exploit,,exploit,Attack
0.75,,Exploit,,Exploit,Attack
0.75,,brute force,,brute force,Attack
0.75,,malware,,malware,Attack
0.75,,malware,,malware,Attack
0.75,,ransomware,,ransomware,Attack
0.75,,suspicious activity,,suspicious activity,Event
0.75,,Malware,,Malware,Attack
0.75,,malware,,malware,Attack
0.75,,ransomware,,ransomware,Attack
0.75,,Ransomware,,Ransomware,Attack
0.75,,brute force,,brute force,Attack
0.75,,intrusion,,intrusion,Attack
0.75,,malware,,malware,Attack
0.75,,Malware,,Malware,Attack
0.75,,Malware,,Malware,Attack
0.75,,intrusion,,intrusion,Attack
0.75,,Malware,,Malware,Attack
0.75,,Malware,,Malware,Attack
0.75,,107.161.23.204,,107.161.23.204,IP
0.75,,192.161.187.200,,192.161.187.200,IP
0.75,,209.141.38.71,,209.141.38.71,IP
0.75,,traffic,,traffic,User
0.75,,credentials,,credentials,User
0.75,,traffic,,traffic,User
0.75,,attack,,attack,Attack
0.75,,exploit,,exploit,Attack
0.75,,exploit,,exploit,Attack
0.75,,Exploit,,Exploit,Attack
0.75,,exploit,,exploit,Attack
0.75,,rights,,rights,User
0.75,,exploit,,exploit,Attack
0.75,,interaction,,interaction,User
0.75,,exploit,,exploit,Attack
0.75,,malware,,malware,Attack
0.75,,exploit,,exploit,Attack
0.75,,malware,,malware,Attack
0.75,,exploit,,exploit,Attack
0.75,,Malware,,Malware,Attack
0.75,,Attack,,Attack,Attack
0.75,,malware,,malware,Attack
0.75,,malware,,malware,Attack
0.75,,malware,,malware,Attack
0.75,,malware,,malware,Attack
0.75,,malware,,malware,Attack
0.75,,Malware,,Malware,Attack
0.75,,Malware,,Malware,Attack
0.75,,Malware,,Malware,Attack
0.75,,Malware,,Malware,Attack
0.75,,malware,,malware,Attack
0.75,,malware,,malware,Attack
0.75,,Phishing,,Phishing,Attack
0.75,,malware,,malware,Attack
0.75,,phishing,,phishing,Attack
0.75,,Phishing,,Phishing,Attack
0.75,,virus,,virus,Attack
0.75,,malware,,malware,Attack
0.75,,malware,,malware,Attack
0.75,,permission,,permission,User
0.75,,malware,,malware,Attack
0.75,,should,,should,User
0.75,,Malware,,Malware,Attack
0.75,,malware,,malware,Attack
0.75,,exploit,,exploit,Attack
0.75,,malware,,malware,Attack
0.75,,malware,,malware,Attack
0.75,,exploit,,exploit,Attack
0.75,,Malware,,Malware,Attack
0.75,,malware,,malware,Attack
0.75,,Ransomware,,Ransomware,Attack
0.75,,ransomware,,ransomware,Attack
0.75,,ransomware,,ransomware,Attack
0.75,,ransomware,,ransomware,Attack
0.75,,ransomware,,ransomware,Attack
0.75,,ransomware,,ransomware,Attack
0.75,,ransomware,,ransomware,Attack
0.75,,ransomware,,ransomware,Attack
0.75,,malware,,malware,Attack
0.75,,malware,,malware,Attack
0.75,,malware,,malware,Attack
0.75,,suspicious activity,,suspicious activity,Event
0.75,,intrusion,,intrusion,Attack
0.75,,Suspicious Activity,,Suspicious Activity,Event
0.75,,phishing,,phishing,Attack
0.75,,malware,,malware,Attack
0.75,,intrusion,,intrusion,Attack
0.75,,malware,,malware,Attack
0.75,,ransomware,,ransomware,Attack
0.75,,attack,,attack,Attack
0.75,,phishing,,phishing,Attack
0.75,,intrusion,,intrusion,Attack
0.75,,malware,,malware,Attack
0.75,,malware,,malware,Attack
0.75,,Malware,,Malware,Attack
0.75,,Malware,,Malware,Attack
0.75,,ransomware,,ransomware,Attack
0.75,,attack,,attack,Attack
0.75,,credentials,,credentials,User
0.75,,intrusion,,intrusion,Attack
0.75,,choices,,choices,User
0.75,,Suspicious Activity,,Suspicious Activity,Event
0.75,,intrusion,,intrusion,Attack
0.75,,malware,,malware,Attack
0.75,,Malware,,Malware,Attack
0.75,,malware,,malware,Attack
0.75,,Malware,,Malware,Attack
0.75,,malware,,malware,Attack
0.75,,malware,,malware,Attack
0.75,,malware,,malware,Attack
0.75,,malware,,malware,Attack
0.75,,Ransomware,,Ransomware,Attack
0.75,,ransomware,,ransomware,Attack
0.75,,malware,,malware,Attack
0.75,,Ransomware,,Ransomware,Attack
0.75,,ransomware,,ransomware,Attack
0.75,,ransomware,,ransomware,Attack
0.75,,ransomware,,ransomware,Attack
0.75,,ransomware,,ransomware,Attack
0.75,,ransomware,,ransomware,Attack
0.75,,Malware,,Malware,Attack
0.75,,Malware,,Malware,Attack
0.75,,Malware,,Malware,Attack
0.75,,malware,,malware,Attack
0.75,,Malware,,Malware,Attack
0.75,,malware,,malware,Attack
0.75,,ransomware,,ransomware,Attack
0.75,,ransomware,,ransomware,Attack
0.75,,ransomware,,ransomware,Attack
0.75,,ransomware,,ransomware,Attack
0.75,,ransomware,,ransomware,Attack
0.75,,ransomware,,ransomware,Attack
0.75,,ransomware,,ransomware,Attack
0.75,,ransomware,,ransomware,Attack
0.75,,DDoS,,DDoS,Attack
0.75,,malware,,malware,Attack
0.75,,DDoS,,DDoS,Attack
0.75,,DDoS,,DDoS,Attack
0.75,,attack,,attack,Attack
0.75,,attack,,attack,Attack
0.75,,phishing,,phishing,Attack
0.75,,attack,,attack,Attack
0.75,,attack,,attack,Attack
0.75,,attack,,attack,Attack
0.75,,attack,,attack,Attack
0.75,,intrusion,,intrusion,Attack
0.75,,intrusion,,intrusion,Attack
0.75,,attack,,attack,Attack
0.75,,Execution,,Execution,User
0.75,,Execution,,Execution,User
0.75,,training,,training,User
0.75,,interaction,,interaction,User
0.75,,attack,,attack,Attack
0.75,,intrusion,,intrusion,Attack
0.75,,phishing,,phishing,Attack
0.75,,virus,,virus,Attack
0.75,,attack,,attack,Attack
0.75,,restrictions,,restrictions,User
0.75,,attack,,attack,Attack
0.75,,visits,,visits,User
0.75,,attack,,attack,Attack
0.75,,attack,,attack,Attack
0.75,,intrusion,,intrusion,Attack
0.75,,malware,,malware,Attack
0.75,,attack,,attack,Attack
0.75,,attack,,attack,Attack
0.75,,virus,,virus,Attack
0.75,,intrusion,,intrusion,Attack
0.75,,intrusion,,intrusion,Attack
0.75,,virus,,virus,Attack
0.75,,suspicious activity,,suspicious activity,Event
0.75,,phishing,,phishing,Attack
0.75,,attack,,attack,Attack
0.75,,attack,,attack,Attack
0.75,,exploit,,exploit,Attack
0.75,,attack,,attack,Attack
0.75,,ransomware,,ransomware,Attack
0.75,,connections,,connections,User
0.75,,exploit,,exploit,Attack
0.75,,malware,,malware,Attack
0.75,,connections,,connections,User
0.75,,interaction,,interaction,User
0.75,,to,,to,User
0.75,,would,,would,User
0.75,,exploit,,exploit,Attack
0.75,,connections,,connections,User
0.75,,exploit,,exploit,Attack
0.75,,exploit,,exploit,Attack
0.75,,malware,,malware,Attack
0.75,,malware,,malware,Attack
0.75,,interaction,,interaction,User
0.75,,interaction,,interaction,User
0.75,,connects,,connects,User
0.75,,to,,to,User
0.75,,attack,,attack,Attack
0.75,,intrusion,,intrusion,Attack
0.75,,exploit,,exploit,Attack
0.75,,exploit,,exploit,Attack
0.75,,exploit,,exploit,Attack
0.75,,exploit,,exploit,Attack
0.75,,exploit,,exploit,Attack
0.75,,exploit,,exploit,Attack
0.75,,malware,,malware,Attack
0.75,,phishing,,phishing,Attack
0.75,,Phishing,,Phishing,Attack
0.75,,phishing,,phishing,Attack
0.75,,breach,,breach,Attack
0.75,,attack,,attack,Attack
0.75,,phishing,,phishing,Attack
0.75,,ransomware,,ransomware,Attack
0.75,,attack,,attack,Attack
0.75,,attack,,attack,Attack
0.75,,attack,,attack,Attack
