confidence,id,source_id,target_id,type
0.6,,phishing,exploit,related_to
0.6,,phishing,community,related_to
0.6,,phishing,phishing,related_to
0.6,,phishing,intrusion,related_to
0.6,,phishing,malware,related_to
0.6,,phishing,Device,related_to
0.6,,phishing,Virus,related_to
0.6,,phishing,Phishing,related_to
0.6,,phishing,ransomware,related_to
0.6,,phishing,suspicious activity,related_to
0.6,,phishing,Exploit,related_to
0.6,,phishing,Malware,related_to
0.6,,phishing,permission,related_to
0.6,,phishing,Ransomware,related_to
0.6,,phishing,credentials,related_to
0.6,,phishing,DDoS,related_to
0.6,,phishing,Execution,related_to
0.6,,phishing,attack,related_to
0.6,,phishing,restrictions,related_to
0.6,,phishing,connections,related_to
0.6,,phishing,interaction,related_to
0.6,,phishing,policies,related_to
0.6,,phishing,traffic,related_to
0.6,,phishing,Attack,related_to
0.6,,phishing,virus,related_to
0.6,,phishing,Suspicious Activity,related_to
0.6,,phishing,breach,related_to
0.6,,phishing,brute force,related_to
0.6,,Phishing,phishing,related_to
0.6,,Phishing,ransomware,related_to
0.6,,Phishing,intrusion,related_to
0.6,,Phishing,malware,related_to
0.6,,Phishing,virus,related_to
0.6,,Phishing,Virus,related_to
0.6,,Phishing,Ransomware,related_to
0.6,,Phishing,exploit,related_to
0.6,,Phishing,brute force,related_to
0.6,,Phishing,suspicious activity,related_to
0.6,,Phishing,Malware,related_to
0.6,,Phishing,attack,related_to
0.6,,Phishing,Attack,related_to
0.6,,Phishing,Suspicious Activity,related_to
0.6,,Phishing,DDoS,related_to
0.6,,Phishing,connections,related_to
0.6,,Phishing,Phishing,related_to
0.6,,exploit,community,related_to
0.6,,exploit,intrusion,related_to
0.6,,exploit,malware,related_to
0.6,,exploit,ransomware,related_to
0.6,,exploit,phishing,related_to
0.6,,exploit,Phishing,related_to
0.6,,exploit,suspicious activity,related_to
0.6,,exploit,Exploit,related_to
0.6,,exploit,Malware,related_to
0.6,,exploit,permission,related_to
0.6,,exploit,Ransomware,related_to
0.6,,exploit,DDoS,related_to
0.6,,exploit,Execution,related_to
0.6,,exploit,restrictions,related_to
0.6,,exploit,attack,related_to
0.6,,exploit,interaction,related_to
0.6,,ransomware,phishing,related_to
0.6,,ransomware,intrusion,related_to
0.6,,ransomware,malware,related_to
0.6,,ransomware,Device,related_to
0.6,,ransomware,virus,related_to
0.6,,ransomware,Virus,related_to
0.6,,ransomware,Ransomware,related_to
0.6,,ransomware,ransomware,related_to
0.6,,ransomware,suspicious activity,related_to
0.6,,ransomware,exploit,related_to
0.6,,ransomware,brute force,related_to
0.6,,ransomware,Malware,related_to
0.6,,ransomware,Suspicious Activity,related_to
0.6,,ransomware,attack,related_to
0.6,,ransomware,credentials,related_to
0.6,,ransomware,DDoS,related_to
0.6,,ransomware,Execution,related_to
0.6,,ransomware,restrictions,related_to
0.6,,ransomware,connections,related_to
0.6,,ransomware,interaction,related_to
0.6,,ransomware,Phishing,related_to
0.6,,ransomware,policies,related_to
0.6,,ransomware,traffic,related_to
0.6,,ransomware,Attack,related_to
0.6,,ransomware,breach,related_to
0.6,,policies,attack,related_to
0.6,,policies,malware,related_to
0.6,,policies,phishing,related_to
0.6,,policies,ransomware,related_to
0.6,,policies,intrusion,related_to
0.6,,policies,traffic,related_to
0.6,,policies,credentials,related_to
0.6,,policies,exploit,related_to
0.6,,policies,interaction,related_to
0.6,,policies,Malware,related_to
0.6,,policies,Attack,related_to
0.6,,policies,Phishing,related_to
0.6,,policies,virus,related_to
0.6,,policies,DDoS,related_to
0.6,,policies,connections,related_to
0.6,,policies,breach,related_to
0.6,,community,phishing,related_to
0.6,,community,intrusion,related_to
0.6,,community,malware,related_to
0.6,,community,ransomware,related_to
0.6,,community,Device,related_to
0.6,,community,Phishing,related_to
0.6,,community,suspicious activity,related_to
0.6,,community,Exploit,related_to
0.6,,community,Malware,related_to
0.6,,community,exploit,related_to
0.6,,community,permission,related_to
0.6,,community,Ransomware,related_to
0.6,,community,credentials,related_to
0.6,,community,DDoS,related_to
0.6,,community,Execution,related_to
0.6,,community,attack,related_to
0.6,,community,restrictions,related_to
0.6,,community,interaction,related_to
0.6,,attack,phishing,related_to
0.6,,attack,malware,related_to
0.6,,attack,ransomware,related_to
0.6,,attack,intrusion,related_to
0.6,,attack,traffic,related_to
0.6,,attack,credentials,related_to
0.6,,attack,exploit,related_to
0.6,,attack,interaction,related_to
0.6,,attack,Malware,related_to
0.6,,attack,Attack,related_to
