timestamp,transaction_id,from_account,to_account,amount,currency,transaction_type,merchant_category,device_id,ip_address,location,is_fraud,risk_score,notes
2024-01-01 10:00:00,TX001,A123,B456,1000.00,USD,transfer,internal,DEV001,192.168.1.1,New York,0,0.15,Normal transfer
2024-01-01 10:01:00,TX002,A123,C789,5000.00,USD,transfer,internal,DEV001,192.168.1.1,New York,0,0.25,Second transfer from same account
2024-01-01 10:02:00,TX003,A123,D012,10000.00,USD,transfer,internal,DEV001,192.168.1.1,New York,1,0.85,Unusual pattern - rapid large transfers
2024-01-01 10:03:00,TX004,A123,E345,7500.00,USD,transfer,internal,DEV002,203.0.113.5,California,1,0.90,Multiple rapid transactions - device change
2024-01-01 10:04:00,TX005,B456,E789,2000.00,USD,transfer,internal,DEV003,198.51.100.1,Chicago,0,0.20,Normal transfer
2024-01-01 10:05:00,TX006,A123,F012,50000.00,USD,transfer,internal,DEV002,203.0.113.5,California,1,0.95,Large transaction - fraud alert
2024-01-01 10:06:00,TX007,C789,G345,1500.00,USD,payment,retail,DEV004,172.16.0.1,Boston,0,0.10,Retail purchase
2024-01-01 10:07:00,TX008,A123,H678,12000.00,USD,transfer,internal,DEV005,198.18.0.1,Texas,1,0.88,Unusual device login - suspicious activity
2024-01-01 10:08:00,TX009,I234,J567,500.00,USD,payment,restaurant,DEV006,10.0.0.1,Seattle,0,0.05,Restaurant payment
2024-01-01 10:09:00,TX010,K890,L123,3000.00,USD,transfer,internal,DEV007,172.20.0.1,Denver,0,0.15,Normal transfer
2024-01-01 10:10:00,TX011,A123,M456,25000.00,USD,transfer,internal,DEV005,198.18.0.1,Texas,1,0.92,Continuing suspicious pattern
2024-01-01 10:11:00,TX012,N789,O012,800.00,USD,payment,gas_station,DEV008,192.168.10.1,Portland,0,0.12,Gas station payment
2024-01-01 10:12:00,TX013,P345,Q678,15000.00,USD,transfer,internal,DEV009,203.0.113.10,California,0,0.30,Large but legitimate transfer
2024-01-01 10:13:00,TX014,A123,R901,18000.00,USD,transfer,internal,DEV010,172.30.0.1,Florida,1,0.89,Multiple device changes - high risk
2024-01-01 10:14:00,TX015,S234,T567,1200.00,USD,payment,grocery,DEV011,10.1.1.1,Atlanta,0,0.08,Grocery purchase
2024-01-01 10:15:00,TX016,U890,V123,4500.00,USD,transfer,internal,DEV012,192.168.20.1,Detroit,0,0.18,Normal transfer
2024-01-01 10:16:00,TX017,W456,X789,22000.00,USD,transfer,internal,DEV013,203.0.113.20,California,0,0.35,Large transfer with verification
2024-01-01 10:17:00,TX018,Y012,Z345,950.00,USD,payment,online,DEV014,172.40.0.1,Minneapolis,0,0.09,Online purchase
2024-01-01 10:18:00,TX019,A123,AA789,35000.00,USD,transfer,internal,DEV015,198.51.200.1,New Jersey,1,0.94,Account takeover pattern detected
2024-01-01 10:19:00,TX020,BB456,CC123,600.00,USD,payment,pharmacy,DEV016,10.2.2.2,San Diego,0,0.07,Pharmacy payment
2024-01-01 10:20:00,TX021,DD789,EE012,7500.00,USD,transfer,internal,DEV017,192.168.30.1,Las Vegas,0,0.22,Transfer with 2FA
2024-01-01 10:21:00,TX022,A123,FF345,42000.00,USD,transfer,internal,DEV018,203.0.113.30,California,1,0.96,Maximum risk - account compromised
2024-01-01 10:22:00,TX023,GG678,HH901,1100.00,USD,payment,utility,DEV019,172.50.0.1,Phoenix,0,0.11,Utility bill payment
2024-01-01 10:23:00,TX024,II234,JJ567,2800.00,USD,transfer,internal,DEV020,10.3.3.3,San Antonio,0,0.16,Normal transfer
2024-01-01 10:24:00,TX025,KK890,LL123,19000.00,USD,transfer,internal,DEV021,192.168.40.1,Charlotte,0,0.28,Large transfer with approval
