confidence,end,id,metadata,start,text,type
,,A123,"{""provider"": ""groq"", ""model"": ""llama-3.1-8b-instant"", ""extraction_method"": ""llm"", ""provenance"": {""merged_from"": [{""id"": ""A123"", ""name"": ""A123"", ""source"": null}, {""id"": ""A123"", ""name"": ""A123"", ""source"": null}], ""merge_count"": 2}}",,A123,Account
,,Android 13,"{""provider"": ""groq"", ""model"": ""llama-3.1-8b-instant"", ""extraction_method"": ""llm"", ""provenance"": {""merged_from"": [{""id"": ""Android 13"", ""name"": ""Android 13"", ""source"": null}, {""id"": ""Android 13"", ""name"": ""Android 13"", ""source"": null}, {""id"": ""Android 14"", ""name"": ""Android 14"", ""source"": null}, {""id"": ""ANOM001"", ""name"": ""ANOM001"", ""source"": null}, {""id"": ""ANOM002"", ""name"": ""ANOM002"", ""source"": null}, {""id"": ""ANOM003"", ""name"": ""ANOM003"", ""source"": null}], ""merge_count"": 6}}",,Android 13,Device
,,B456,"{""provider"": ""groq"", ""model"": ""llama-3.1-8b-instant"", ""extraction_method"": ""llm"", ""provenance"": {""merged_from"": [{""id"": ""B456"", ""name"": ""B456"", ""source"": null}, {""id"": ""B456"", ""name"": ""B456"", ""source"": null}, {""id"": ""BB456"", ""name"": ""BB456"", ""source"": null}], ""merge_count"": 3}}",,B456,Account
,,D012,"{""provider"": ""groq"", ""model"": ""llama-3.1-8b-instant"", ""extraction_method"": ""llm"", ""provenance"": {""merged_from"": [{""id"": ""D012"", ""name"": ""D012"", ""source"": null}, {""id"": ""D012"", ""name"": ""D012"", ""source"": null}, {""id"": ""DEV001"", ""name"": ""DEV001"", ""source"": null}, {""id"": ""DEV001"", ""name"": ""DEV001"", ""source"": null}, {""id"": ""DEV010"", ""name"": ""DEV010"", ""source"": null}, {""id"": ""DEV010"", ""name"": ""DEV010"", ""source"": null}, {""id"": ""DEV002"", ""name"": ""DEV002"", ""source"": null}, {""id"": ""DEV002"", ""name"": ""DEV002"", ""source"": null}, {""id"": ""DEV020"", ""name"": ""DEV020"", ""source"": null}, {""id"": ""DEV003"", ""name"": ""DEV003"", ""source"": null}, {""id"": ""DEV003"", ""name"": ""DEV003"", ""source"": null}, {""id"": ""DEV004"", ""name"": ""DEV004"", ""source"": null}, {""id"": ""DEV004"", ""name"": ""DEV004"", ""source"": null}, {""id"": ""DEV005"", ""name"": ""DEV005"", ""source"": null}, {""id"": ""DEV005"", ""name"": ""DEV005"", ""source"": null}, {""id"": ""DEV006"", ""name"": ""DEV006"", ""source"": null}, {""id"": ""DEV007"", ""name"": ""DEV007"", ""source"": null}, {""id"": ""DEV008"", ""name"": ""DEV008"", ""source"": null}, {""id"": ""DEV009"", ""name"": ""DEV009"", ""source"": null}, {""id"": ""DEV011"", ""name"": ""DEV011"", ""source"": null}, {""id"": ""DEV012"", ""name"": ""DEV012"", ""source"": null}, {""id"": ""DEV021"", ""name"": ""DEV021"", ""source"": null}, {""id"": ""DEV013"", ""name"": ""DEV013"", ""source"": null}, {""id"": ""DEV014"", ""name"": ""DEV014"", ""source"": null}, {""id"": ""DEV015"", ""name"": ""DEV015"", ""source"": null}, {""id"": ""DEV015"", ""name"": ""DEV015"", ""source"": null}, {""id"": ""DEV016"", ""name"": ""DEV016"", ""source"": null}, {""id"": ""DEV017"", ""name"": ""DEV017"", ""source"": null}, {""id"": ""DEV018"", ""name"": ""DEV018"", ""source"": null}, {""id"": ""DEV018"", ""name"": ""DEV018"", ""source"": null}, {""id"": ""DEV019"", ""name"": ""DEV019"", ""source"": null}, {""id"": ""DEV999"", ""name"": ""DEV999"", ""source"": null}, {""id"": ""device_changes"", ""name"": ""device_changes"", ""source"": null}], ""merge_count"": 33}}",,D012,Account
,,desktop,"{""provider"": ""groq"", ""model"": ""llama-3.1-8b-instant"", ""extraction_method"": ""llm"", ""provenance"": {""merged_from"": [{""id"": ""desktop"", ""name"": ""desktop"", ""source"": null}, {""id"": ""desktop"", ""name"": ""desktop"", ""source"": null}], ""merge_count"": 2}}",,desktop,Device
,,C789,"{""provider"": ""groq"", ""model"": ""llama-3.1-8b-instant"", ""extraction_method"": ""llm"", ""provenance"": {""merged_from"": [{""id"": ""C789"", ""name"": ""C789"", ""source"": null}, {""id"": ""C789"", ""name"": ""C789"", ""source"": null}], ""merge_count"": 2}}",,C789,Account
,,checking,"{""provider"": ""groq"", ""model"": ""llama-3.1-8b-instant"", ""extraction_method"": ""llm"", ""provenance"": {""merged_from"": [{""id"": ""checking"", ""name"": ""checking"", ""source"": null}, {""id"": ""checking"", ""name"": ""checking"", ""source"": null}], ""merge_count"": 2}}",,checking,Account
,,E345,"{""provider"": ""groq"", ""model"": ""llama-3.1-8b-instant"", ""extraction_method"": ""llm"", ""provenance"": {""merged_from"": [{""id"": ""E345"", ""name"": ""E345"", ""source"": null}, {""id"": ""E345"", ""name"": ""E345"", ""source"": null}], ""merge_count"": 2}}",,E345,Account
,,F012,"{""provider"": ""groq"", ""model"": ""llama-3.1-8b-instant"", ""extraction_method"": ""llm"", ""provenance"": {""merged_from"": [{""id"": ""F012"", ""name"": ""F012"", ""source"": null}, {""id"": ""F012"", ""name"": ""F012"", ""source"": null}], ""merge_count"": 2}}",,F012,Account
,,mobile,"{""provider"": ""groq"", ""model"": ""llama-3.1-8b-instant"", ""extraction_method"": ""llm"", ""provenance"": {""merged_from"": [{""id"": ""mobile"", ""name"": ""mobile"", ""source"": null}, {""id"": ""mobile"", ""name"": ""mobile"", ""source"": null}], ""merge_count"": 2}}",,mobile,Device
,,USD,"{""provider"": ""groq"", ""model"": ""llama-3.1-8b-instant"", ""extraction_method"": ""llm"", ""provenance"": {""merged_from"": [{""id"": ""USD"", ""name"": ""USD"", ""source"": null}, {""id"": ""USD"", ""name"": ""USD"", ""source"": null}], ""merge_count"": 2}}",,USD,Transaction
