confidence,id,metadata,source_id,target_id,type
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 2}",Australia,Canada,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 10}",Australia,New Zealand,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 23}",Australia,the United Kingdom,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 51}",Australia,United States.[1][2][3][4][5]</p>\n,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 2}",Canada,New Zealand,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 15}",Canada,the United Kingdom,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 43}",Canada,United States.[1][2][3][4][5]</p>\n,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 2}",New Zealand,the United Kingdom,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 30}",New Zealand,United States.[1][2][3][4][5]</p>\n,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 10}",the United Kingdom,United States.[1][2][3][4][5]</p>\n,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 2}",li>Webshell,China,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 5}",Australia,Entity(text='Canada,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 70}",Australia,confidence=1.0,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 46}",Entity(text='Canada,confidence=1.0,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 76}",confidence=1.0,Canada,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 87}",confidence=1.0,Entity(text='New Zealand',related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 5}",Canada,Entity(text='New Zealand',related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 4}",New Zealand',Entity(text='the United Kingdom',related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 81}",New Zealand',confidence=1.0,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 45}",Entity(text='the United Kingdom',confidence=1.0,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 76}",confidence=1.0,the United Kingdom',related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 2}",end_char=482,confidence=1.0,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 92}",end_char=482,China,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 76}",confidence=1.0,China,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 85}",May 2015,Frutas,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 2}",Advanced Persistent Threat,APT,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 86}",Advanced Persistent Threat,Quasar,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 81}",APT,Quasar,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 89}",early 2017,Society for Worldwide Interbank Financial Telecommunication,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 11}",Windows Registry,Task,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 32}",Windows Registry,li>Significant,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 17}",Task,li>Significant,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 79}",Frutas,confidence=1.0,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 33}",Entity(text='MAC,end_char=4752,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 92}",end_char=4752,MAC,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 5}",PII,Entity(text='early 2018',related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 77}",PII,confidence=1.0,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 48}",Entity(text='early 2018',confidence=1.0,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 91}",confidence=1.0,Entity(text='early 2017',related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 47}",Worldwide Interbank Financial Telecommunication',confidence=1.0,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 2}",The United Kingdom National Cyber Security Centre,UK,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 30}",>China Chopper,China Chopper,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 52}",China Chopper,China Chopper,related_to
